names,Subscribers,Views,Subscriber 2,Views 2,Subscibers 3,Views 3,Subscribers 4,Views 4
1-Jan-05,,,,,,,,
2-Jan-05,0,0,,,58,20000,0,17
3-Jan-05,1.89673913,109.4184783,,,58.03789338,20029.77648,0.004621072,17.23197782
4-Jan-05,3.793478261,218.8369565,,,58.07578677,20059.55295,0.009242144,17.46395564
5-Jan-05,5.690217391,328.2554348,,,58.11368015,20089.32943,0.013863216,17.69593346
6-Jan-05,7.586956522,437.673913,,,58.15157354,20119.1059,0.018484288,17.92791128
7-Jan-05,9.483695652,547.0923913,,,58.18946692,20148.88238,0.02310536,18.15988909
8-Jan-05,11.38043478,656.5108696,,,58.22736031,20178.65886,0.027726433,18.39186691
9-Jan-05,13.27717391,765.9293478,,,58.26525369,20208.43533,0.032347505,18.62384473
10-Jan-05,15.17391304,875.3478261,,,58.30314708,20238.21181,0.036968577,18.85582255
11-Jan-05,17.07065217,984.7663043,,,58.34104046,20267.98828,0.041589649,19.08780037
12-Jan-05,18.9673913,1094.184783,,,58.37893385,20297.76476,0.046210721,19.31977819
13-Jan-05,20.86413043,1203.603261,,,58.41682723,20327.54124,0.050831793,19.55175601
14-Jan-05,22.76086957,1313.021739,,,58.45472062,20357.31771,0.055452865,19.78373383
15-Jan-05,24.6576087,1422.440217,,,58.492614,20387.09419,0.060073937,20.01571165
16-Jan-05,26.55434783,1531.858696,,,58.53050739,20416.87067,0.064695009,20.24768946
17-Jan-05,28.45108696,1641.277174,,,58.56840077,20446.64714,0.069316081,20.47966728
18-Jan-05,30.34782609,1750.695652,,,58.60629416,20476.42362,0.073937153,20.7116451
19-Jan-05,32.24456522,1860.11413,,,58.64418754,20506.20009,0.078558226,20.94362292
20-Jan-05,34.14130435,1969.532609,,,58.68208092,20535.97657,0.083179298,21.17560074
21-Jan-05,36.03804348,2078.951087,,,58.71997431,20565.75305,0.08780037,21.40757856
22-Jan-05,37.93478261,2188.369565,,,58.75786769,20595.52952,0.092421442,21.63955638
23-Jan-05,39.83152174,2297.788043,,,58.79576108,20625.306,0.097042514,21.8715342
24-Jan-05,41.72826087,2407.206522,,,58.83365446,20655.08247,0.101663586,22.10351201
25-Jan-05,43.625,2516.625,,,58.87154785,20684.85895,0.106284658,22.33548983
26-Jan-05,45.52173913,2626.043478,,,58.90944123,20714.63543,0.11090573,22.56746765
27-Jan-05,47.41847826,2735.461957,,,58.94733462,20744.4119,0.115526802,22.79944547
28-Jan-05,49.31521739,2844.880435,,,58.985228,20774.18838,0.120147874,23.03142329
29-Jan-05,51.21195652,2954.298913,,,59.02312139,20803.96485,0.124768946,23.26340111
30-Jan-05,53.10869565,3063.717391,,,59.06101477,20833.74133,0.129390018,23.49537893
31-Jan-05,55.00543478,3173.13587,,,59.09890816,20863.51781,0.134011091,23.72735675
1-Feb-05,56.90217391,3282.554348,,,59.13680154,20893.29428,0.138632163,23.95933457
2-Feb-05,58.79891304,3391.972826,,,59.17469493,20923.07076,0.143253235,24.19131238
3-Feb-05,60.69565217,3501.391304,,,59.21258831,20952.84724,0.147874307,24.4232902
4-Feb-05,62.5923913,3610.809783,,,59.2504817,20982.62371,0.152495379,24.65526802
5-Feb-05,64.48913043,3720.228261,,,59.28837508,21012.40019,0.157116451,24.88724584
6-Feb-05,66.38586957,3829.646739,,,59.32626846,21042.17666,0.161737523,25.11922366
7-Feb-05,68.2826087,3939.065217,,,59.36416185,21071.95314,0.166358595,25.35120148
8-Feb-05,70.17934783,4048.483696,,,59.40205523,21101.72962,0.170979667,25.5831793
9-Feb-05,72.07608696,4157.902174,,,59.43994862,21131.50609,0.175600739,25.81515712
10-Feb-05,73.97282609,4267.320652,,,59.477842,21161.28257,0.180221811,26.04713494
11-Feb-05,75.86956522,4376.73913,,,59.51573539,21191.05904,0.184842884,26.27911275
12-Feb-05,77.76630435,4486.157609,,,59.55362877,21220.83552,0.189463956,26.51109057
13-Feb-05,79.66304348,4595.576087,,,59.59152216,21250.612,0.194085028,26.74306839
14-Feb-05,81.55978261,4704.994565,,,59.62941554,21280.38847,0.1987061,26.97504621
15-Feb-05,83.45652174,4814.413043,,,59.66730893,21310.16495,0.203327172,27.20702403
16-Feb-05,85.35326087,4923.831522,,,59.70520231,21339.94142,0.207948244,27.43900185
17-Feb-05,87.25,5033.25,,,59.7430957,21369.7179,0.212569316,27.67097967
18-Feb-05,89.14673913,5142.668478,,,59.78098908,21399.49438,0.217190388,27.90295749
19-Feb-05,91.04347826,5252.086957,,,59.81888247,21429.27085,0.22181146,28.1349353
20-Feb-05,92.94021739,5361.505435,,,59.85677585,21459.04733,0.226432532,28.36691312
21-Feb-05,94.83695652,5470.923913,,,59.89466924,21488.82381,0.231053604,28.59889094
22-Feb-05,96.73369565,5580.342391,,,59.93256262,21518.60028,0.235674677,28.83086876
23-Feb-05,98.63043478,5689.76087,,,59.97045601,21548.37676,0.240295749,29.06284658
24-Feb-05,100.5271739,5799.179348,,,60.00834939,21578.15323,0.244916821,29.2948244
25-Feb-05,102.423913,5908.597826,,,60.04624277,21607.92971,0.249537893,29.52680222
26-Feb-05,104.3206522,6018.016304,,,60.08413616,21637.70619,0.254158965,29.75878004
27-Feb-05,106.2173913,6127.434783,,,60.12202954,21667.48266,0.258780037,29.99075786
28-Feb-05,108.1141304,6236.853261,,,60.15992293,21697.25914,0.263401109,30.22273567
1-Mar-05,110.0108696,6346.271739,,,60.19781631,21727.03561,0.268022181,30.45471349
2-Mar-05,111.9076087,6455.690217,,,60.2357097,21756.81209,0.272643253,30.68669131
3-Mar-05,113.8043478,6565.108696,,,60.27360308,21786.58857,0.277264325,30.91866913
4-Mar-05,115.701087,6674.527174,,,60.31149647,21816.36504,0.281885397,31.15064695
5-Mar-05,117.5978261,6783.945652,,,60.34938985,21846.14152,0.28650647,31.38262477
6-Mar-05,119.4945652,6893.36413,,,60.38728324,21875.91799,0.291127542,31.61460259
7-Mar-05,121.3913043,7002.782609,,,60.42517662,21905.69447,0.295748614,31.84658041
8-Mar-05,123.2880435,7112.201087,,,60.46307001,21935.47095,0.300369686,32.07855823
9-Mar-05,125.1847826,7221.619565,,,60.50096339,21965.24742,0.304990758,32.31053604
10-Mar-05,127.0815217,7331.038043,,,60.53885678,21995.0239,0.30961183,32.54251386
11-Mar-05,128.9782609,7440.456522,,,60.57675016,22024.80037,0.314232902,32.77449168
12-Mar-05,130.875,7549.875,,,60.61464355,22054.57685,0.318853974,33.0064695
13-Mar-05,132.7717391,7659.293478,,,60.65253693,22084.35333,0.323475046,33.23844732
14-Mar-05,134.6684783,7768.711957,,,60.69043031,22114.1298,0.328096118,33.47042514
15-Mar-05,136.5652174,7878.130435,,,60.7283237,22143.90628,0.33271719,33.70240296
16-Mar-05,138.4619565,7987.548913,,,60.76621708,22173.68276,0.337338262,33.93438078
17-Mar-05,140.3586957,8096.967391,,,60.80411047,22203.45923,0.341959335,34.1663586
18-Mar-05,142.2554348,8206.38587,,,60.84200385,22233.23571,0.346580407,34.39833641
19-Mar-05,144.1521739,8315.804348,,,60.87989724,22263.01218,0.351201479,34.63031423
20-Mar-05,146.048913,8425.222826,,,60.91779062,22292.78866,0.355822551,34.86229205
21-Mar-05,147.9456522,8534.641304,,,60.95568401,22322.56514,0.360443623,35.09426987
22-Mar-05,149.8423913,8644.059783,,,60.99357739,22352.34161,0.365064695,35.32624769
23-Mar-05,151.7391304,8753.478261,,,61.03147078,22382.11809,0.369685767,35.55822551
24-Mar-05,153.6358696,8862.896739,,,61.06936416,22411.89456,0.374306839,35.79020333
25-Mar-05,155.5326087,8972.315217,,,61.10725755,22441.67104,0.378927911,36.02218115
