Date,Subscribers,Views,Subscriber 2,Views 2,Subscibers 3,Views 3,Subscribers 4,Views 4
"Apr 23, 2014",,,,,,,,
"Apr 24, 2014",,,,,,,,
"Apr 25, 2014",,,,,,,,
"Apr 26, 2014",,,,,,,,
"Apr 27, 2014",,,,,,,,
"Apr 28, 2014",,,,,,,,
"Apr 29, 2014",,,,,,,,
"Apr 30, 2014",349,20133,,,,,,
"May 01, 2014",364,23147,,,,,,
"May 02, 2014",370,24058,,,,,,
"May 03, 2014",374,24580,,,,,,
"May 04, 2014",381,25143,,,,,,
"May 05, 2014",389,25745,,,,,,
"May 06, 2014",391,26053,,,,,,
"May 07, 2014",395,26299,,,,,,
"May 08, 2014",397,26454,,,,,,
"May 09, 2014",400,26696,,,,,,
"May 10, 2014",,,,,,,,
"May 11, 2014",401,26893,,,,,,
"May 12, 2014",419,27543,,,,,,
"May 13, 2014",,,,,,,,
"May 14, 2014",,28030,,,,,,
"May 15, 2014",437,28548,,,,,,
"May 16, 2014",441,28928,,,,,,
"May 17, 2014",,,,,,,,
"May 18, 2014",445,29443,,,,,,
"May 19, 2014",450,30324,,,,,,
"May 20, 2014",457,30792,,,,,,
"May 21, 2014",461,31048,,,,,,
"May 22, 2014",462,31350,,,,,,
"May 23, 2014",465,31596,,,,,,
"May 24, 2014",,,,,,,,
"May 25, 2014",471,31812,,,,,,
"May 26, 2014",473,32223,,,,,,
"May 27, 2014",478,32838,,,,,,
"May 28, 2014",486,33315,,,,,,
"May 29, 2014",493,34421,,,,,,
"May 30, 2014",498,34897,,,,,,
"May 31, 2014",513,35357,,,,,,
"Jun 01, 2014",518,,,,,,,
"Jun 02, 2014",533,36774,,,,,,
"Jun 03, 2014",545,37544,,,,,,
"Jun 04, 2014",566,38070,,,,,,
"Jun 05, 2014",574,38508,,,,,,
"Jun 06, 2014",587,38901,,,,,,
"Jun 07, 2014",602,40043,,,,,,
"Jun 08, 2014",615,,,,,,,
"Jun 09, 2014",628,42529,,,,,,
"Jun 10, 2014",645,43611,,,,,,
"Jun 11, 2014",657,44609,,,,,,
"Jun 12, 2014",,,,,,,,
"Jun 13, 2014",674,46567,,,,,,
"Jun 14, 2014",684,47760,,,,,,
"Jun 15, 2014",696,48611,,,,,,
"Jun 16, 2014",708,49574,,,,,,
"Jun 17, 2014",717,50604,,,,,,
"Jun 18, 2014",741,51504,,,,,,
"Jun 19, 2014",750,52604,,,,,,
"Jun 20, 2014",772,54806,,,,,,
"Jun 21, 2014",797,56541,,,,,,
"Jun 22, 2014",816,58094,,,,,,
"Jun 23, 2014",838,59997,,,,,,
"Jun 24, 2014",857,61558,,,,,,
"Jun 25, 2014",886,63154,,,,,,
"Jun 26, 2014",918,65071,,,,,,
"Jun 27, 2014",934,66909,,,,,,
"Jun 28, 2014",957,69589,,,,,,
"Jun 29, 2014",982,71675,,,,,,
"Jun 30, 2014",1005,73426,,,,,,
"Jul 01, 2014",1037,75186,,,,,,
"Jul 02, 2014",1057,77309,,,,,,
"Jul 03, 2014",1077,79266,,,,,,
"Jul 04, 2014",1093,80713,,,,,,
"Jul 05, 2014",1111,83206,,,,,,
"Jul 06, 2014",1129,,,,,,,
"Jul 07, 2014",1153,87684,,,,,,
"Jul 08, 2014",1180,90345,,,,,,
"Jul 09, 2014",1215,93159,,,,,,
"Jul 10, 2014",1235,96655,,,,,,
"Jul 11, 2014",1264,,,,,,,
"Jul 12, 2014",1293,99677,,,,,,
"Jul 13, 2014",1318,105420,,,,,,
"Jul 14, 2014",1348,108579,,,,,,
"Jul 15, 2014",1365,,,,,,,
"Jul 16, 2014",1391,115586,,,,,,
"Jul 17, 2014",1410,118225,,,,,,
"Jul 18, 2014",1435,121423,,,,,,
"Jul 19, 2014",1458,124689,,,,,,
"Jul 20, 2014",1481,,,,,,,
"Jul 21, 2014",1509,130446,,,,,,
"Jul 22, 2014",1535,133817,,,,,,
"Jul 23, 2014",1557,136423,,,,,,
"Jul 24, 2014",1586,139125,,,,,,
"Jul 25, 2014",1607,142335,,,,,,
"Jul 26, 2014",1627,145500,,,,,,
"Jul 27, 2014",1654,,,,,,,
"Jul 28, 2014",1681,151631,,,,,,
"Jul 29, 2014",1719,155022,,,,,,
"Jul 30, 2014",1746,159172,,,,,,
"Jul 31, 2014",1776,162837,,,,,,
"Aug 01, 2014",1809,166038,,,,,,
"Aug 02, 2014",1833,169126,,,,,,
"Aug 03, 2014",1863,,,,,,,
"Aug 04, 2014",1900,175999,,,,,,
"Aug 05, 2014",1926,179527,,,,,,
"Aug 06, 2014",1958,184769,,,,,,
"Aug 07, 2014",2004,191214,,,,,,
"Aug 08, 2014",2032,194801,,,,,,
"Aug 09, 2014",2064,198742,,,,,,
"Aug 10, 2014",2101,,,,,,,
"Aug 11, 2014",2135,206732,,,,,,
"Aug 12, 2014",2182,210992,,,,,,
"Aug 13, 2014",2222,215419,,,,,,
"Aug 14, 2014",2252,,,,,,,
"Aug 15, 2014",2273,223728,,,,,,
"Aug 16, 2014",2302,228100,,,,,,
"Aug 17, 2014",2345,,,,,,,
"Aug 18, 2014",2405,232549,,,,,,
"Aug 19, 2014",2440,238971,,,,,,
"Aug 20, 2014",2479,251493,,,,,,
"Aug 21, 2014",2518,,,,,,,
"Aug 22, 2014",2560,260463,,,,,,
"Aug 23, 2014",2593,,,,,,,
"Aug 24, 2014",2623,264621,,,,,,
"Aug 25, 2014",2648,273761,,,,,,
"Aug 26, 2014",2671,278091,,,,,,
"Aug 27, 2014",2710,282503,,,,,,
"Aug 28, 2014",2741,286699,,,,,,
"Aug 29, 2014",2783,290997,,,,,,
"Aug 30, 2014",2827,294956,,,,,,
"Aug 31, 2014",2859,,,,,,,
"Sep 01, 2014",2891,306086,,,,,,
"Sep 02, 2014",2919,311346,,,,,,
"Sep 03, 2014",2946,315270,,,,,,
"Sep 04, 2014",2965,318908,,,,,,
"Sep 05, 2014",2984,321513,,,,,,
"Sep 06, 2014",3024,324347,,,,,,
"Sep 07, 2014",3052,,,,,,,
"Sep 08, 2014",3091,334011,,,,,,
"Sep 09, 2014",3121,337937,,,,,,
"Sep 10, 2014",3148,342107,,,,,,
"Sep 11, 2014",3183,347523,,,,,,
"Sep 12, 2014",3202,353767,,,,,,
"Sep 13, 2014",3245,360232,,,,,,
"Sep 14, 2014",3284,,,,,,,
"Sep 15, 2014",3316,378879,,,,,,
"Sep 16, 2014",3342,385525,,,,,,
"Sep 17, 2014",3357,390752,,,,,,
"Sep 18, 2014",3383,395579,,,,,,
"Sep 19, 2014",3403,398479,,,,,,
"Sep 20, 2014",3438,402024,,,,,,
"Sep 21, 2014",3477,,,,,,,
"Sep 22, 2014",3502,413974,,,,,,
"Sep 23, 2014",3534,418550,,,,,,
"Sep 24, 2014",3564,423577,,,,,,
"Sep 25, 2014",3599,428865,,,,,,
"Sep 26, 2014",3623,435102,,,,,,
"Sep 27, 2014",3672,439789,,,,,,
"Sep 28, 2014",3706,,,,,,,
"Sep 29, 2014",3732,452698,,,,,,
"Sep 30, 2014",3755,456692,,,,,,
"Oct 01, 2014",3773,460631,,,,,,
"Oct 02, 2014",3776,464533,,,,,,
"Oct 03, 2014",3813,468408,,,,,,
"Oct 04, 2014",3850,471945,,,,,,
"Oct 05, 2014",3873,,,,,,,
"Oct 06, 2014",3895,462924,,,,,,
"Oct 07, 2014",3914,467051,,,,,,
"Oct 08, 2014",3930,470622,,,,,,
"Oct 09, 2014",,476349,,,,,,
"Oct 10, 2014",3986,481814,,,,,,
"Oct 11, 2014",4021,486966,,,,,,
"Oct 12, 2014",4063,,,,,,,
"Oct 13, 2014",4092,499775,,,,,,
"Oct 14, 2014",4120,505273,,,,,,
"Oct 15, 2014",4144,509805,,,,,,
"Oct 16, 2014",4164,514707,,,,,,
"Oct 17, 2014",4182,519432,,,,,,
"Oct 18, 2014",4208,524676,,,,,,
"Oct 19, 2014",4238,,,,,,,
"Oct 20, 2014",4271,530831,,,,,,
"Oct 21, 2014",4295,541406,,,,,,
"Oct 22, 2014",4321,544680,,,,,,
"Oct 23, 2014",4344,549005,,,,,,
"Oct 24, 2014",4375,556463,,,,,,
"Oct 25, 2014",4407,562383,,,,,,
"Oct 26, 2014",4430,,,,,,,
"Oct 27, 2014",4458,576243,,,,,,
"Oct 28, 2014",4486,582131,,,,,,
"Oct 29, 2014",4507,587281,,,,,,
"Oct 30, 2014",4520,592006,,,,,,
"Oct 31, 2014",4534,596790,,,,,,
"Nov 01, 2014",4565,602304,,,,,,
"Nov 02, 2014",4604,,,,,,,
"Nov 03, 2014",4621,618521,,,,,,
"Nov 04, 2014",4641,624749,,,,,,
"Nov 05, 2014",4660,630404,,,,,,
"Nov 06, 2014",4673,634835,,,,,,
"Nov 07, 2014",4702,638764,,,,,,
"Nov 08, 2014",4730,644445,,,,,,
"Nov 09, 2014",4767,,,,,,,
"Nov 10, 2014",4801,652032,,,,,,
"Nov 11, 2014",4825,666652,,,,,,
"Nov 12, 2014",4853,673698,,,,,,
"Nov 13, 2014",4897,680190,,,,,,
"Nov 14, 2014",4926,687011,,,,,,
"Nov 15, 2014",4970,693542,,,,,,
"Nov 16, 2014",5020,,,,,,,
"Nov 17, 2014",5050,711388,,,,,,
"Nov 18, 2014",5077,717268,,,,,,
"Nov 19, 2014",5109,723016,,,,,,
"Nov 20, 2014",5132,729240,,,,,,
"Nov 21, 2014",5156,735284,,,,,,
"Nov 22, 2014",5192,740501,,,,,,
"Nov 23, 2014",5231,,,,,,,
"Nov 24, 2014",5254,755059,,,,,,
"Nov 25, 2014",5280,761232,,,,,,
"Nov 26, 2014",5309,767818,,,,,,
"Nov 27, 2014",5336,775298,,,,,,
"Nov 28, 2014",5371,780857,,,,,,
"Nov 29, 2014",5422,787409,,,,,,
"Nov 30, 2014",5437,,,,,,,
"Dec 01, 2014",5466,800829,,,,,,
"Dec 02, 2014",5458,805448,,,,,,
"Dec 03, 2014",5477,809007,,,,,,
"Dec 04, 2014",5504,813311,,,,,,
"Dec 05, 2014",5517,819476,,,,,,
"Dec 06, 2014",5542,825483,,,,,,
"Dec 07, 2014",5571,,,,,,,
"Dec 08, 2014",5601,839885,,,,,,
"Dec 09, 2014",5625,845886,,,,,,
"Dec 10, 2014",5653,,,,,,,
"Dec 11, 2014",5681,857889,,,,,,
"Dec 12, 2014",5704,863592,,,,,,
"Dec 13, 2014",5720,870083,,,,,,
"Dec 14, 2014",5780,,,,,,,
"Dec 15, 2014",5867,894743,,,,,,
"Dec 16, 2014",5923,,,,,,,
"Dec 17, 2014",6030,913935,,,,,,
"Dec 18, 2014",6178,925958,,,,,,
"Dec 19, 2014",6302,941264,,,,,,
"Dec 20, 2014",6429,954469,,,,,,
"Dec 21, 2014",6575,,,,,,,
"Dec 22, 2014",6656,980784,,,,,,
"Dec 23, 2014",6757,991990,,,,,,
"Dec 24, 2014",6811,1005802,,,,,,
"Dec 25, 2014",6845,1016201,,,,,,
"Dec 26, 2014",6906,1026798,,,,,,
"Dec 27, 2014",6960,1040293,,,,,,
"Dec 28, 2014",7010,,,,,,,
"Dec 29, 2014",7051,1062109,,,,,,
"Dec 30, 2014",7113,1072985,,,,,,
"Dec 31, 2014",7164,1083257,,,,,,
"Jan 01, 2015",7217,1093897,,,,,,
"Jan 02, 2015",7288,1108309,,,,,,
"Jan 03, 2015",7345,1123520,,,,,,
"Jan 04, 2015",7410,,,,,,,
"Jan 05, 2015",7469,1138169,,,,,,
"Jan 06, 2015",7536,1150817,,,,,,
"Jan 07, 2015",7590,1163149,,,,,,
"Jan 08, 2015",7641,1172221,,,,,,
"Jan 09, 2015",7689,1180906,,,,,,
"Jan 10, 2015",7743,1187938,,,,,,
"Jan 11, 2015",7809,,,,,,,
"Jan 12, 2015",7857,1209844,,,,,,
"Jan 13, 2015",7906,,,,,,,
"Jan 14, 2015",7948,1227134,,,,,,
"Jan 15, 2015",7987,1235824,,,,,,
"Jan 16, 2015",8030,1243627,,,,,,
"Jan 17, 2015",8090,1253434,,,,,,
"Jan 18, 2015",8156,,,,,,,
"Jan 19, 2015",8215,1275448,,,,,,
"Jan 20, 2015",8258,1286412,,,,,,
"Jan 21, 2015",8293,,,,,,,
"Jan 22, 2015",8341,1304903,,,,,,
"Jan 23, 2015",8376,1314643,,,,,,
"Jan 24, 2015",8430,1323002,,,,,,
"Jan 25, 2015",8504,,,,,,,
"Jan 26, 2015",8555,1333345,,,,,,
"Jan 27, 2015",8618,1354494,,,,,,
"Jan 28, 2015",8657,,,,,,,
"Jan 29, 2015",8712,1374986,,,,,,
"Jan 30, 2015",8786,1383318,,,,,,
"Jan 31, 2015",8876,1392042,,,,,,
"Feb 01, 2015",8988,,,,,,,
"Feb 02, 2015",9068,1404100,,,,,,
"Feb 03, 2015",9134,1425948,,,,,,
"Feb 04, 2015",9190,,,,,,,
"Feb 05, 2015",9247,1441596,,,,,,
"Feb 06, 2015",9296,1451017,,,,,,
"Feb 07, 2015",9366,1461106,,,,,,
"Feb 08, 2015",9453,,,,,,,
"Feb 09, 2015",9567,1474322,,,,,,
"Feb 10, 2015",9652,1497796,,,,,,
"Feb 11, 2015",9747,,,,,,,
"Feb 12, 2015",9846,1520538,,,,,,
"Feb 13, 2015",9914,1530249,,,,,,
"Feb 14, 2015",10017,,,,,,,
"Feb 15, 2015",10103,1541465,,,,,,
"Feb 16, 2015",10172,1565656,,,,,,
"Feb 17, 2015",10223,1580192,,,,,,
"Feb 18, 2015",10293,,,,,,,
"Feb 19, 2015",10339,1604501,,,,,,
"Feb 20, 2015",10402,1616962,,,,,,
"Feb 21, 2015",10468,1627281,,,,,,
"Feb 22, 2015",10508,,,,,,,
"Feb 23, 2015",10550,,,,,,,
"Feb 24, 2015",10666,,,,,,,
"Feb 25, 2015",10735,1638434,,,,,,
"Feb 26, 2015",10784,1683944,,,,,,
"Feb 27, 2015",10813,,,,,,,
"Feb 28, 2015",10856,1704220,,,,,,
"Mar 01, 2015",10903,,,,,,,
"Mar 02, 2015",10938,1726432,,,,,,
"Mar 03, 2015",10985,,,,,,,
"Mar 04, 2015",11026,1736368,,,,,,
"Mar 05, 2015",11058,1745685,,,,,,
"Mar 06, 2015",11098,,,,,,,
"Mar 07, 2015",11162,,,,,,,
"Mar 08, 2015",11221,,,,,,,
"Mar 09, 2015",11246,,,,,,,
"Mar 10, 2015",11301,1788650,,,,,,
"Mar 11, 2015",11343,1801672,,,,,,
"Mar 12, 2015",11378,1812814,,,,,,
"Mar 13, 2015",11413,1834404,,,,,,
"Mar 14, 2015",11476,1844573,,,,,,
"Mar 15, 2015",11646,1855176,,,,,,
"Mar 16, 2015",11712,1881570,,,,,,
"Mar 17, 2015",11754,,,,,,,
"Mar 18, 2015",11800,,,,,,,
"Mar 19, 2015",11835,1904193,,,,,,
"Mar 20, 2015",11887,,,,,,,
"Mar 21, 2015",11952,1915805,,,,,,
"Mar 22, 2015",12035,,,,,,,
"Mar 23, 2015",12074,,,,,,,
"Mar 24, 2015",12128,1958065,,,,,,
"Mar 25, 2015",12168,1969209,,,,,,
"Mar 26, 2015",12207,1980479,,,,,,
"Mar 27, 2015",12239,1992007,,,,,,
"Mar 28, 2015",12283,2016098,,,,,,
"Mar 29, 2015",12339,,,,,,,
"Mar 30, 2015",12389,2033879,,,,,,
"Mar 31, 2015",12439,2048021,,,,,,
"Apr 01, 2015",12482,2060062,,,,,,
"Apr 02, 2015",12542,2087538,,,,,,
"Apr 03, 2015",12601,2102176,,,,,,
"Apr 04, 2015",12662,,,,,,,
"Apr 05, 2015",12728,2117708,,,,,,
"Apr 06, 2015",12786,2148939,,,,,,
"Apr 07, 2015",12836,2164283,,,,,,
"Apr 08, 2015",12896,2179650,,,,,,
"Apr 09, 2015",12938,,,,,,,
"Apr 10, 2015",12991,2193467,,,,,,
"Apr 11, 2015",13058,2224325,,,,,,
"Apr 12, 2015",13139,,,,,,,
"Apr 13, 2015",13191,,,,,,,
"Apr 14, 2015",13272,2267243,,,,,,
"Apr 15, 2015",13329,2295805,,,,,,
"Apr 16, 2015",13386,2311659,,,,,,
"Apr 17, 2015",13430,,,,,,,
"Apr 18, 2015",13493,2340649,,,,,,
"Apr 19, 2015",13563,,,,,,,
"Apr 20, 2015",13601,2357486,,,,,,
"Apr 21, 2015",13639,2375634,,,,,,
"Apr 22, 2015",13688,2390428,,,,,,
"Apr 23, 2015",13732,2407935,,,,,,
"Apr 24, 2015",13762,2423916,,,,,,
"Apr 25, 2015",13816,2451915,,,,,,
"Apr 26, 2015",13867,,,,,,,
"Apr 27, 2015",13913,2468298,,,,,,
"Apr 28, 2015",13967,,,,,,,
"Apr 29, 2015",14010,2499165,,,,,,
"Apr 30, 2015",14024,2524038,,,,,,
"May 01, 2015",14067,,,,,,,
"May 02, 2015",14103,2550646,,,,,,
"May 03, 2015",14148,,,,,,,
"May 04, 2015",14185,2567071,,,,,,
"May 05, 2015",14198,2583149,,,,,,
"May 06, 2015",14234,2608429,,,,,,
"May 07, 2015",14262,,,,,,,
"May 08, 2015",14288,2620521,,,,,,
"May 09, 2015",14331,2644483,,,,,,
"May 10, 2015",14372,,,,,,,
"May 11, 2015",14409,2661773,,,,,,
"May 12, 2015",14448,2677403,,,,,,
"May 13, 2015",14473,2686407,,,,,,
"May 14, 2015",14505,2694611,,,,,,
"May 15, 2015",14552,2704984,,,,,,
"May 16, 2015",14587,2715560,,,,,,
"May 17, 2015",14640,2727389,,,,,,
"May 18, 2015",14686,2739368,,,,,,
"May 19, 2015",14703,2763073,,,,,,
"May 20, 2015",14724,,,,,,,
"May 21, 2015",14747,2774354,,,,,,
"May 22, 2015",14777,2798229,,,,,,
"May 23, 2015",14827,2808358,,,,,,
"May 24, 2015",14881,,,,,,,
"May 25, 2015",14927,2833318,,,,,,
"May 26, 2015",14961,2846761,,,,,,
"May 27, 2015",14998,,,,,,,
"May 28, 2015",15043,2857841,,,,,,
"May 29, 2015",15087,2869846,,,,,,
"May 30, 2015",15166,2889073,,,,,,
"May 31, 2015",15310,2902734,,,,,,
"Jun 01, 2015",15448,,,,,,,
"Jun 02, 2015",15569,2920334,,,,,,
"Jun 03, 2015",15684,2934529,,,,,,
"Jun 04, 2015",15770,2948777,,,,,,
"Jun 05, 2015",15825,2962261,,,,,,
"Jun 06, 2015",15936,2975767,,,,,,
"Jun 07, 2015",16047,3010407,,,,,,
"Jun 08, 2015",16140,,,,,,,
"Jun 09, 2015",16237,,,,,,,
"Jun 10, 2015",16330,3052216,,,,,,
"Jun 11, 2015",16408,3090402,,,,,,
"Jun 12, 2015",16505,,,,,,,
"Jun 13, 2015",16603,3126152,,,,,,
"Jun 14, 2015",16709,3145980,,,,,,
"Jun 15, 2015",16807,,,,,,,
"Jun 16, 2015",16916,3165887,,,,,,
"Jun 17, 2015",17028,3184494,,,,,,
"Jun 18, 2015",17108,3226584,,,,,,
"Jun 19, 2015",17188,,,,,,,
"Jun 20, 2015",17260,3245662,,,,,,
"Jun 21, 2015",17319,3280425,,,,,,
"Jun 22, 2015",17376,,,,,,,
"Jun 23, 2015",17438,,,,,,,
"Jun 24, 2015",17479,3313238,,,,,,
"Jun 25, 2015",17538,3328096,,,,,,
"Jun 26, 2015",17588,3345680,,,,,,
"Jun 27, 2015",17639,3361305,,,,,,
"Jun 28, 2015",17680,3377346,,,,,,
"Jun 29, 2015",17745,3393485,,,,,,
"Jun 30, 2015",17788,,,,,,,
"Jul 01, 2015",17840,,,,,,,
"Jul 02, 2015",17883,,,,,,,
"Jul 03, 2015",17940,3452145,,,,,,
"Jul 04, 2015",18020,3491736,,,,,,
"Jul 05, 2015",18090,3512782,,,,,,
"Jul 06, 2015",18168,3534494,,,,,,
"Jul 07, 2015",18247,3554473,,,,,,
"Jul 08, 2015",18323,3572589,,,,,,
"Jul 09, 2015",18381,3589200,,,,,,
"Jul 10, 2015",18444,3606663,,,,,,
"Jul 11, 2015",18497,3622230,,,,,,
"Jul 12, 2015",18579,3637027,,,,,,
"Jul 13, 2015",18649,,,,,,,
"Jul 14, 2015",18714,3680160,,,,,,
"Jul 15, 2015",18789,3697901,,,,,,
"Jul 16, 2015",18870,3715371,,,,,,
"Jul 17, 2015",18945,3731003,,,,,,
"Jul 18, 2015",19005,3746937,,,,,,
"Jul 19, 2015",19064,3763089,,,,,,
"Jul 20, 2015",19136,3778856,,,,,,
"Jul 21, 2015",19145,,,,,,,
"Jul 22, 2015",19280,3818743,,,,,,
"Jul 23, 2015",19358,3836610,,,,,,
"Jul 24, 2015",19410,,,,,,,
"Jul 25, 2015",19476,3876074,,,,,,
"Jul 26, 2015",19543,3893731,,,,,,
"Jul 27, 2015",19594,3909377,,,,,,
"Jul 28, 2015",19672,,,,,,,
"Jul 29, 2015",19741,3927162,,,,,,
"Jul 30, 2015",19811,3957508,,,,,,
"Jul 31, 2015",19901,3975942,,,,,,
"Aug 01, 2015",20011,3992105,,,,,,
"Aug 02, 2015",20100,4010141,,,,,,
"Aug 03, 2015",20159,4026850,,,,,,
